CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-g	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-r	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-i	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-z	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-g	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-r	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-i	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-z	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-e1	CONFIGURATION_11-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-e2	CONFIGURATION_11-PLANE_1-OBJECT_1-REDSHIFT	CONFIGURATION_11-PLANE_1-OBJECT_3-magnitude-g	CONFIGURATION_11-PLANE_1-OBJECT_3-magnitude-r	CONFIGURATION_11-PLANE_1-OBJECT_3-magnitude-i	CONFIGURATION_11-PLANE_1-OBJECT_3-magnitude-z	WEIGHT
22.48954201	20.49267197	19.4852314	19.03017235	0.36484715402323004	0.63665697100171	0.59554974991553	0.59554974991553	0.43500608702000004	0.69509856153	0.81460527761	0.81460527761	-0.06420588	0.03060821	0.6265438	23.91782379	22.23146057	21.04488945	20.50751495	1.0
21.25621796	19.37607765	18.75724983	18.39589882	1.13010999000636	1.1541489773494602	0.9829955851948601	0.9829955851948601	0.62480564944	1.00949747735	0.9372950379800001	0.9372950379800001	0.1268092	-0.17901082	0.3722633	23.50601959	22.11322212	20.87412262	20.37823296	1.0
22.36594009	20.54111099	19.65045929	19.21881866	0.8978117413699601	1.1524005171422502	0.9862614970581501	0.9862614970581501	0.74154140804	1.53339344053	1.6798219043900002	1.6798219043900002	-0.05254448	0.06546205	0.5812345	22.05107498	21.80885887	21.77655411	21.78313255	1.0
22.3738327	20.45204735	19.69775009	19.30496597	1.0220963581542502	7.900099085926381	1.0113111299525002	1.0113111299525002	1.54294916944	4.21233962361	1.58250127656	1.58250127656	0.27341183	-0.11241956	0.49401316	23.80343819	22.50680923	22.11164856	21.87080002	1.0
21.53607178	19.61275101	18.99751472	18.64897346	0.9916446125261001	1.09977994930878	0.9481791532375801	0.9481791532375801	0.906287743	1.1085085455700001	1.02492563069	1.02492563069	0.09632299	0.05230796	0.41688064	20.1357193	19.39055252	19.16361427	19.04759026	1.0
22.41574669	20.47575378	19.72103119	19.2918396	3.6295049072573304	2.64961962373477	0.7804247236679102	0.7804247236679102	2.68901708691	3.9279051104600002	1.85174296614	1.85174296614	0.09341602	0.0204532	0.5242946	20.29948235	19.17757034	18.76522827	18.57135773	1.0
22.71396065	20.8776207	19.81285858	19.40849876	0.53036881034797	0.9951115191280402	1.0437487424714902	1.0437487424714902	0.5293028749800001	0.83459051085	1.30476243044	1.30476243044	-0.06380641	-0.09209091	0.6045719	20.9112339	20.96699905	20.74861526	20.80792427	1.0
22.74207687	20.76774979	19.9907341	19.50798607	0.48579036167242007	0.7238547172965302	0.85031313452804	0.85031313452804	0.6193014223800001	1.04450498129	1.45459622619	1.45459622619	-0.02170508	-0.09291909	0.5070199	21.69163704	20.1966114	19.04369545	18.56871796	1.0
22.51490974	20.58257294	19.64493561	19.21230125	0.39390341645976007	0.9988638550669301	1.17770721455003	1.17770721455003	0.60328021456	0.64366327807	0.9702479175400001	0.9702479175400001	0.08200704	0.12601226	0.5854651	23.39801025	21.94959641	21.14489746	20.77329445	1.0
22.45000076	20.64687347	19.78521347	19.40614128	0.4683376527345301	0.6989616844015601	0.8362350801134101	0.8362350801134101	0.43277059228000003	0.9519706168200001	1.3894115657300001	1.3894115657300001	0.06879678	-0.08813958	0.5491348	24.58428955	23.28763771	21.80659294	21.12475395	1.0
