CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-g	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-r	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-i	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-z	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-g	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-r	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-i	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-z	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-e1	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-e2	CONFIGURATION_8-PLANE_1-OBJECT_1-REDSHIFT	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-R_sersic-g	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-R_sersic-r	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-R_sersic-i	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-R_sersic-z	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-n_sersic-g	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-n_sersic-r	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-n_sersic-i	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-n_sersic-z	CONFIGURATION_8-PLANE_1-OBJECT_3-REDSHIFT	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-e1	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-e2	CONFIGURATION_8-PLANE_1-OBJECT_4-magnitude-g	CONFIGURATION_8-PLANE_1-OBJECT_4-magnitude-r	CONFIGURATION_8-PLANE_1-OBJECT_4-magnitude-i	CONFIGURATION_8-PLANE_1-OBJECT_4-magnitude-z	WEIGHT
21.97377014	20.03877258	19.30495644	18.93541908	1.0856338194560402	1.60110994510047	1.7502604826068002	1.7502604826068002	0.44826411427	0.85566165531	1.01456214988	1.01456214988	-0.06850352	0.24192048	0.4641914	21.95776749	20.08449173	19.31464386	18.91999626	0.7203911086725101	0.6572824834119901	0.6932378618069301	0.6932378618069301	0.60105986336	0.65306161726	0.7243293257000001	0.7243293257000001	0.4641914	-0.20135149	-0.06051207	17.40089226	16.55164146	16.28335571	16.13455391	1.0
21.65355682	20.10686684	19.58096886	19.28300476	0.34794188590260006	0.43091211906233007	0.48572594734948005	0.48572594734948005	0.33386856649	1.1781388002300002	1.16604619173	1.16604619173	-0.08033405	0.04778628	0.3292298	20.71155357	19.093853	18.55094147	18.23803711	1.25884893891054	1.47474467015267	1.4419650957813401	1.4419650957813401	0.80189095815	0.91774628743	0.97909320718	0.97909320718	0.3292298	-0.03615404	-0.05396533	23.08385086	21.64750481	20.65295029	20.22817421	1.0
22.5627079	20.50781631	19.59320831	19.1533947	0.41851695610136	0.9766375776317602	0.9759669143160701	0.9759669143160701	0.6167069799800001	1.0829270352700002	1.3154034393700003	1.3154034393700003	-0.08867991	0.06660336	0.55508024	22.57939911	20.70238495	19.82788277	19.3934021	0.8052905779877101	0.8599210247303701	0.9193969079446901	0.9193969079446901	0.38081680958	0.75809459911	0.8730445430000001	0.8730445430000001	0.55508024	0.07571485	0.20920371	20.89635277	19.55466843	18.52251816	18.07896423	1.0
22.60674858	20.63656044	19.71632576	19.24712753	1.46120976946068	1.4661572537248002	1.5893764085253401	1.5893764085253401	1.3853650214300002	1.41735112877	1.73151678463	1.73151678463	-0.08601663	-0.04658713	0.5468158	22.90260506	20.77856827	19.88008499	19.43951225	0.11014487745546002	0.45884579422139005	0.49744032134485006	0.49744032134485006	0.44951465297000004	0.87680954843	0.9619791291600001	0.9619791291600001	0.5468158	-0.02525354	0.27762363	21.8049984	20.37502861	19.44415283	19.04130745	1.0
21.38162613	19.51634598	18.74357414	18.35350609	1.3480060347766702	1.3128935532741801	2.2072053390940005	2.2072053390940005	1.047059545	0.95438980391	1.72110414386	1.72110414386	0.09876615	0.0276578	0.50109076	21.97475815	20.11847496	19.37321472	19.0324707	6.558930160558071	0.9527063763413601	1.10796366155984	1.10796366155984	2.62718583951	1.03089242478	1.0115546107500002	1.0115546107500002	0.50109076	-0.11645143	0.14370594	23.24103546	21.8022213	20.19974709	19.45871925	1.0
22.02201843	20.19316673	19.55277061	19.22779083	0.8756634997089001	0.8755684449023401	0.8722467925087101	0.8722467925087101	0.52538477988	0.96935037218	1.02259009075	1.02259009075	-0.16243319	0.06665527	0.39835045	21.00575256	19.20043182	18.57432747	18.22881126	1.7490405316615503	1.50780551749574	1.5242155556353802	1.5242155556353802	0.9234679102900001	1.1988537217100002	1.3158955386700002	1.3158955386700002	0.39835045	-0.18863677	0.0846175	22.13694572	20.79546738	19.88269424	19.47343636	1.0
22.31605339	20.38505363	19.47764969	19.05997849	0.56418320552774	4.02813406807608	4.223411476333791	4.223411476333791	0.46715099112999997	2.87177592104	2.6435182473400003	2.6435182473400003	-0.14412941	-0.0014302	0.5787049	22.17798042	20.34244156	19.5658989	19.16340065	1.06563206962931	1.52513009016944	1.4998945026438002	1.4998945026438002	0.68278717911	1.19858798388	1.33706092918	1.33706092918	0.5787049	-0.14950966	0.09095027	17.24085236	16.90437698	16.79941368	16.76953697	1.0
21.65355682	20.10686684	19.58096886	19.28300476	0.34794188590260006	0.43091211906233007	0.48572594734948005	0.48572594734948005	0.33386856649	1.1781388002300002	1.16604619173	1.16604619173	-0.08033405	0.04778628	0.3292298	21.6082058	19.66348076	19.02138901	18.67090034	2.85859948351993	1.0718494407065402	1.4452112190854203	1.4452112190854203	3.95786060795	2.1003079823300004	2.9940709604899998	2.9940709604899998	0.3292298	-0.1527716	0.01324594	25.98371315	24.11911774	22.44701195	21.590868	1.0
22.02843475	20.01767349	19.28679085	18.86814117	0.8160289718595601	1.2038479690520603	1.15156105034051	1.15156105034051	0.47519733674000003	0.7475394307500001	0.96652699354	0.96652699354	-0.16241579	-0.02568596	0.4605234	21.96454239	20.15211487	19.39970398	19.00170517	0.7558568307244801	0.9512072627705601	0.8666974459498201	0.8666974459498201	0.6576516195000001	0.95922491426	0.9821670223100001	0.9821670223100001	0.4605234	-0.17112463	0.11780142	23.36043358	21.89070892	20.80514717	20.31718826	1.0
23.15911674	21.03168869	19.84266853	19.34728241	0.7692908055451901	0.8371325299044701	3.8766197512388203	3.8766197512388203	0.69053351536	0.8583399342200001	2.80355362373	2.80355362373	0.15973425	-0.0748081	0.6611647	22.73350906	20.83991623	19.88237572	19.4234314	0.70092439835303	0.9887669026833402	1.4705288659459002	1.4705288659459002	0.6557532513100001	0.85081839196	1.6799964732700001	1.6799964732700001	0.6611647	-0.02241349	0.14140691	23.43147469	22.65133858	22.30763626	22.28341103	1.0
