CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-e1	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-e2	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-g	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-r	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-i	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-z	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-g	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-r	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-i	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-z	CONFIGURATION_3-PLANE_1-OBJECT_1-MASS_PROFILE_1-e1	CONFIGURATION_3-PLANE_1-OBJECT_1-MASS_PROFILE_1-e2	CONFIGURATION_3-PLANE_1-OBJECT_1-REDSHIFT	CONFIGURATION_3-PLANE_1-OBJECT_1-MASS_PROFILE_1-sigma_v	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-R_sersic-g	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-R_sersic-r	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-R_sersic-i	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-R_sersic-z	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-n_sersic-g	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-n_sersic-r	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-n_sersic-i	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-n_sersic-z	CONFIGURATION_3-PLANE_2-OBJECT_1-REDSHIFT	CONFIGURATION_3-PLANE_2-OBJECT_2-REDSHIFT	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-e1	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-e2	WEIGHT
22.90260506	20.77856827	19.88008499	19.43951225	-0.02525354	0.27762363	0.11014487745546002	0.45884579422139005	0.49744032134485006	0.49744032134485006	0.44951465297000004	0.87680954843	0.9619791291600001	0.9619791291600001	-0.02525354	0.27762363	0.5519353	213.00189	22.1966877	20.80497742	19.91817665	19.54384232	0.7585394832955501	1.12854055784678	1.1014510329224503	1.1014510329224503	0.69583922213	1.38482024849	1.54560694487	1.54560694487	0.6723131	0.6723131	-0.2571709	0.05891507	1.0
22.63200951	20.78449249	19.95763016	19.50542831	0.01563829	0.00313112	0.8129999389204301	0.9743935243063101	1.1730441698144702	1.1730441698144702	0.9928006961700001	1.98404557902	2.41656381754	2.41656381754	0.01563829	0.00313112	0.5211947	161.03159	22.06679726	21.35493851	20.76961708	20.59098434	1.0243937103443401	1.4179410164328101	1.5979730597064001	1.5979730597064001	0.78848689226	1.08548536251	1.3658784730100002	1.3658784730100002	0.74486965	0.74486965	-0.07906415	-0.05837487	1.0
22.25844765	20.23703003	19.36489487	18.93704414	-0.02143528	-0.05180275	0.6431692039924201	1.00914438751004	2.2452834615305	2.2452834615305	0.33054857284	1.4793995799800002	2.9197207184700003	2.9197207184700003	-0.02143528	-0.05180275	0.5403116	324.375	22.06497765	20.66715431	19.85492325	19.65679932	0.91237457017954	0.9436130765231201	0.9877929333026502	0.9877929333026502	0.7332987066300001	1.04350403485	1.07569010635	1.07569010635	0.67627907	0.67627907	-0.09320193	-0.01314177	1.0
22.94104195	20.97460175	19.8819809	19.428442	0.05038694	0.07009922	0.5875127430384001	0.93019466956924	0.9688462887853002	0.9688462887853002	0.44213805001	0.94477193599	1.1544316409600002	1.1544316409600002	0.05038694	0.07009922	0.6402936	300.30063	23.05966377	22.53124046	21.81325531	21.64481544	0.5584934867085601	0.59534598495843	0.55941204480335	0.55941204480335	0.7114421310800001	1.00842718044	1.27851863617	1.27851863617	0.89627133	0.89627133	-0.21627126	-0.05683388	1.0
20.08007812	18.53403664	18.02286911	17.70743942	-0.07680392	-0.11946604	1.3415850308551303	1.9278502494181202	1.7943694937297703	1.7943694937297703	0.97224303554	1.5579517467000001	1.6546602604400003	1.6546602604400003	-0.07680392	-0.11946604	0.29513523	243.81961	21.66205788	20.69074059	20.28273582	19.99382591	0.9612223529509601	1.0103591929733802	1.4352184905510301	1.4352184905510301	0.87489970818	0.9873746616400001	1.54403796314	1.54403796314	0.41708472	0.41708472	0.06511308	0.03921337	1.0
21.70149994	19.74386024	19.01083183	18.61350441	-0.0297411	-0.05602877	0.8119524850858301	1.2147209305217201	2.3741840244948706	2.3741840244948706	0.4184155894	0.89712479407	2.2332827837600004	2.2332827837600004	-0.0297411	-0.05602877	0.49673402	232.40465	23.79116058	22.89347458	22.00951576	21.661623	0.8088928448642001	0.9784047058603801	0.86715484532964	0.86715484532964	0.71315470555	0.69831133008	0.85448074849	0.85448074849	0.80523293	0.80523293	-0.11953128	0.04269222	1.0
20.05290794	18.56334877	18.05712318	17.74356079	-0.24555076	-0.21570806	1.03283184900317	1.04887637670442	0.9854773087378301	0.9854773087378301	0.53352210771	0.5903331374699999	0.58787902661	0.58787902661	-0.24555076	-0.21570806	0.26872385	230.27914	22.80142593	21.97737885	21.45471954	21.16518402	1.1608640518911202	1.5904821088831502	1.5856417507994702	1.5856417507994702	0.55369075189	1.09340538922	1.2608783477499999	1.2608783477499999	0.8461321	0.8461321	-0.0437496	-0.05043248	1.0
18.69141579	17.44701195	17.00622177	16.67507172	0.13233813	-0.22794503	3.0659434189858104	2.7132454781767303	2.7813587793973307	2.7813587793973307	1.53167422005	1.3104968429900001	1.48472177685	1.48472177685	0.13233813	-0.22794503	0.19427417	229.44417	22.52819443	21.62759209	21.30129623	20.98071098	0.57836317493035	0.9445778761694801	1.3913751852246603	1.3913751852246603	0.7772468719000001	1.03798036946	1.75865724584	1.75865724584	0.41253456	0.41253456	-0.0676664	-0.06892617	1.0
22.36594009	20.54111099	19.65045929	19.21881866	-0.05254448	0.06546205	0.8978117413699601	1.1524005171422502	0.9862614970581501	0.9862614970581501	0.74154140804	1.53339344053	1.6798219043900002	1.6798219043900002	-0.05254448	0.06546205	0.5812345	232.17596	24.58285713	22.93923187	21.86942482	21.47990799	1.5570760024015102	2.8495069099761903	2.9366315010615405	2.9366315010615405	0.48497560047	1.1661624456200002	1.16022587286	1.16022587286	0.73097518	0.73097518	0.04703062	-0.07392474	1.0
21.22953987	19.42503929	18.85782433	18.5205574	0.09561006	0.16274434	1.9574880564473602	7.216272605884471	6.557168111409121	6.557168111409121	0.62059450659	2.33246810789	2.29007262098	2.29007262098	0.09561006	0.16274434	0.41196907	232.3594	23.03318214	22.20421791	21.6366024	21.43975067	3.0345991048229304	0.46372576400799004	0.5078418656451501	0.5078418656451501	2.74161728679	1.02804553394	1.55428054811	1.55428054811	0.75517039	0.75517039	-0.00470287	0.00527462	1.0
22.31378365	20.3663826	19.68836403	19.28530693	0.00128209	-0.00940088	0.5843360806275001	0.7206449409185701	0.6335774751269401	0.6335774751269401	0.34272548598999997	1.08244847784	1.17594465961	1.17594465961	0.00128209	-0.00940088	0.48089427	216.21178	24.34243774	22.66414642	21.61496162	21.13632584	1.6851723228773903	1.2141734233022201	2.2044131857707203	2.2044131857707203	3.21412292636	2.25374588537	3.5059214079500003	3.5059214079500003	0.73679852	0.73679852	-0.05982205	-0.2132853	1.0
19.3159771	17.94513702	17.44082832	17.07131577	-0.00966963	-0.00481493	2.9620437413713505	2.9417310997153905	3.30482111904712	3.30482111904712	1.8362042660100002	1.92336595602	2.1307558342300004	2.1307558342300004	-0.00966963	-0.00481493	0.19847032	191.3684	22.83066368	21.42527199	20.82540131	20.5189209	0.69257900633123	1.02539782495861	1.19823951827436	1.19823951827436	0.55634401161	1.05444420628	1.4159277438400002	1.4159277438400002	0.52250405	0.52250405	0.15772241	-0.00160352	1.0
22.40237617	20.35561752	19.50510216	19.07555199	0.06861315	-0.0295306	1.07463737264575	1.1839341503165801	1.3698774219817103	1.3698774219817103	1.7231693645100001	1.63890911943	2.19094824447	2.19094824447	0.06861315	-0.0295306	0.5503627	286.42462	21.87740517	21.04364777	20.26463318	20.02335548	1.3773427788915802	0.5363361092059801	0.50848040411048	0.50848040411048	1.17345919389	1.11965118755	0.73590130203	0.73590130203	0.79907503	0.79907503	0.12005434	0.1252133	1.0
22.00828552	20.08856773	19.41601372	19.02102089	0.45280944	0.29294949	0.9293858764522401	0.84115123151222	0.6701367604522901	0.6701367604522901	0.5107124938000001	0.99061834321	1.0103688752500002	1.0103688752500002	0.45280944	0.29294949	0.4919199	259.92783	23.4917717	21.80378723	20.88356209	20.45368767	1.27133209867331	1.6211977792061503	1.4532740841015102	1.4532740841015102	0.6854794417300001	1.1986065437900002	1.01238907556	1.01238907556	0.6949879	0.6949879	-0.12477354	-0.05107736	1.0
21.39249992	19.55630493	18.92667961	18.57262421	0.00471166	0.10651634	1.01146951105363	1.5611827001193703	2.14800413289558	2.14800413289558	0.90423092257	0.86370213602	1.5993351912	1.5993351912	0.00471166	0.10651634	0.45004547	212.54944	23.02650833	21.82978058	21.2200222	20.87221909	0.6865367061431401	0.6520435666334101	0.5868498633102801	0.5868498633102801	0.8879467962800001	0.9763286458600001	1.1633423913	1.1633423913	0.59688265	0.59688265	0.20413986	0.09221066	1.0
21.44499969	19.57222557	18.94468117	18.58858681	0.01003848	0.03643756	0.7756503306761501	0.9378519178856701	0.9147142717815702	0.9147142717815702	2.54117063225	1.16367259043	1.1301462209600002	1.1301462209600002	0.01003848	0.03643756	0.41127214	243.51167	22.74264336	21.16807747	20.31977272	19.91166115	1.13505694651101	1.13283789432061	0.8821721711878	0.8821721711878	0.5394692136200001	0.94697228604	0.9806681458600001	0.9806681458600001	0.61923735	0.61923735	-0.13560228	0.02833407	1.0
