CONFIGURATION_3-PLANE_1-OBJECT_1-REDSHIFT	CONFIGURATION_3-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_3-PLANE_1-OBJECT_1-MASS_PROFILE_1-sigma_v	CONFIGURATION_3-PLANE_2-OBJECT_1-REDSHIFT	CONFIGURATION_3-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-i	WEIGHT
0.62635976	19.57884407	320.02017	0.9475672618133913	21.53570747	1.0
0.34224638	20.17049789	212.13568	0.35560998013415124	20.50325966	1.0
0.3699408	21.25091934	238.47646	0.5801900477958445	21.26433372	1.0
0.27905652	20.4451313	243.34239	0.80918411980865	21.70738411	1.0
0.47984657	21.18902206	189.00337	0.9814994686388706	22.64427567	1.0
0.5080769	21.55312729	298.26834	0.6862200920228068	21.46500969	1.0
0.43090895	20.80870628	224.22102	0.4474180392384622	19.08964539	1.0
0.22511223	19.16752625	199.87375	0.7829978849850718	20.7340107	1.0
0.5854905	20.6875	235.86873	1.1435633105819893	22.61193275	1.0
0.45201632	20.23109245	214.2621	0.7040054294523814	21.31168365	1.0
0.22812395	18.14000893	269.76184	0.41734793877384013	20.55874062	1.0
0.3760452	19.94662666	210.92702	0.5469518394370926	19.84654999	1.0
0.64934886	21.04706001	378.9789	1.1731673635660531	22.85786247	1.0
0.4893947	21.35553741	262.92078	0.7625105291650327	21.7217083	1.0
0.24291016	19.19385529	230.88635	0.34774289168509326	20.10386848	1.0
0.606066	20.74495506	260.12906	0.966986062549452	21.84830284	1.0
0.48747006	21.401474	246.58083	0.6818533215704881	18.77323151	1.0
0.21658358	18.84844398	216.98592	0.8197822132832376	21.76122284	1.0
0.12986523	17.28316689	181.16829	0.8899501565030936	21.37958717	1.0
0.38349044	20.87974167	247.43315	1.150723848637667	21.81341171	1.0
0.4828621	20.53656197	223.25621	0.8422840974698828	20.81162453	1.0
0.5898866	21.47640991	358.31107	1.1563028571321885	22.13076973	1.0
0.40370277	20.89955711	177.61208	0.8953045580767278	21.26263428	1.0
0.27542362	19.68235588	276.86215	0.47446463836150465	22.40148163	1.0
0.57555574	20.18039322	257.48938	0.6318881677845631	21.03111839	1.0
0.56192315	21.81856346	295.2397	0.857957226264855	21.65379143	1.0
0.45141846	21.96158028	165.09424	0.8311281103117089	21.4078064	1.0
0.5865576	20.89180756	224.34253	0.7071140826627815	20.6808033	1.0
0.5292377	21.1559391	221.21645	0.6921673970837587	20.69363594	1.0
0.5594878	21.69737816	210.93005	0.8036336816027603	21.70495224	1.0
0.2890859	20.54198647	207.91382	1.131211479479569	22.27060509	1.0
0.13652126	18.067276	209.69864	1.016331540986912	21.2547245	1.0
0.12750295	18.68740082	233.16795	0.7849889872866997	21.82337761	1.0
0.51394176	20.88476944	273.41214	0.912189048011028	21.6272049	1.0
0.5165217	20.51042557	206.65071	0.7782425982965083	21.03574181	1.0
0.3516514	21.9385643	250.59413	0.3549892830621829	19.25437546	1.0
0.509223	22.52838707	193.61325	0.8969393913805616	21.34631729	1.0
0.70293003	21.48758316	270.6112	0.7556671797981888	21.46832275	1.0
0.41259164	20.03117943	267.31006	0.6778266153482472	21.90787125	1.0
0.66126287	21.28432465	251.89584	1.135129463487146	22.09333038	1.0
0.5097062	20.31869125	207.56055	0.9769130148985817	22.18178749	1.0
0.5798983	21.84386635	320.052	0.8303172115189144	22.14007378	1.0
