CONFIGURATION_15-PLANE_1-OBJECT_2-magnitude-g	CONFIGURATION_15-PLANE_1-OBJECT_2-magnitude-r	CONFIGURATION_15-PLANE_1-OBJECT_2-magnitude-i	CONFIGURATION_15-PLANE_1-OBJECT_2-magnitude-z	CONFIGURATION_15-PLANE_1-OBJECT_4-magnitude-g	CONFIGURATION_15-PLANE_1-OBJECT_4-magnitude-r	CONFIGURATION_15-PLANE_1-OBJECT_4-magnitude-i	CONFIGURATION_15-PLANE_1-OBJECT_4-magnitude-z	WEIGHT
22.73623657	22.29418945	22.14713097	22.35371399	20.08283806	18.66285896	17.70799065	17.28764153	1.0
22.04385185	21.65613937	21.4772377	21.32058525	23.60046768	22.15205193	21.0398941	20.51831627	1.0
24.33394432	23.07076454	21.47629356	20.72492409	24.65810394	23.22340202	21.73628807	21.26776505	1.0
20.56166649	19.24790955	18.72313118	18.4615593	23.91023636	22.5118885	21.92625237	21.60348701	1.0
23.54390144	22.10592461	21.30182457	20.82806206	21.89933968	20.41184616	19.0827446	18.52375221	1.0
19.68344307	18.26896286	17.36800385	16.966856	22.77641869	21.42842674	20.70138168	20.41386223	1.0
24.1086216	23.1471653	22.74063873	22.68654633	23.3999176	22.95367241	22.85758018	22.64399147	1.0
23.0714016	21.77303696	20.55408669	20.02176094	23.45035744	21.6820488	21.10538864	20.94052887	1.0
20.25165176	19.78815269	19.65164948	19.59053802	24.04088974	22.44584084	21.10352898	20.58942986	1.0
26.24894714	24.1911869	22.45944786	21.69784927	22.41518593	21.22537994	20.79572296	20.57348442	1.0
18.5144577	18.11837578	18.00038719	17.79070091	22.97230911	22.37153816	22.14586067	22.19197083	1.0
25.30294418	23.84168243	22.17980766	21.39846992	19.04467773	17.91407394	17.45969009	17.23397255	1.0
18.60648537	18.34867859	18.28871536	18.28339577	23.39517021	21.95221329	20.96682549	20.48147011	1.0
17.49644661	16.93162155	16.72688484	16.62418556	24.33291817	22.92908478	21.81147957	21.32942009	1.0
24.04355621	22.86528778	21.46839142	20.84799004	19.93749619	18.4899807	17.44360542	17.00161743	1.0
19.67962074	18.8896122	17.82180595	17.22865486	25.09169006	22.98550987	21.21132851	20.39520645	1.0
18.28149033	17.22899628	16.89802361	16.72192001	19.92394447	18.5524044	17.72476006	17.35873985	1.0
20.43274879	19.03438187	18.42493057	18.1405201	24.58509064	22.86570549	21.69208908	21.15964317	1.0
24.65407181	23.1256752	22.33275986	22.11838722	25.61232948	23.77980042	22.99832153	22.54196739	1.0
23.3647213	21.85544586	20.80270386	20.36343956	22.92371559	21.17596817	20.23693657	19.81782341	1.0
21.34515381	20.21131897	19.82153893	19.62047195	23.22856331	22.35022163	22.1008873	21.95981979	1.0
22.74296951	21.40298843	20.89954185	20.66002655	22.35429382	21.96209526	21.8298378	21.75559616	1.0
22.04857635	21.41710091	21.21534538	21.11558723	21.34554482	21.03067017	20.96253204	21.00523949	1.0
25.92038345	24.43266869	22.02132225	21.08338356	20.91801262	19.55962181	18.62095261	18.20666885	1.0
17.34253502	16.97174454	16.87458229	16.85454941	18.32647705	17.77694321	17.64643669	17.55510521	1.0
23.03001404	21.80913734	21.37902641	21.07614326	18.53673553	18.11663055	18.00979996	17.97356033	1.0
19.94038582	18.5289135	17.6856575	17.29738045	23.07499504	22.1277523	21.80671883	21.62540054	1.0
21.33640862	20.91176987	20.80986404	20.75844002	22.41870308	20.92518806	19.55845833	18.99733925	1.0
21.5564785	20.29480362	19.71020889	19.45323372	22.08843613	21.76286697	21.68450546	21.6897068	1.0
24.23557854	22.57685089	21.16926765	20.63290405	23.88496971	22.82497215	22.47403717	22.60950851	1.0
23.78623772	22.57480431	22.1209259	21.77034378	20.06336975	18.61382484	17.56376457	17.10742569	1.0
25.2688427	23.59908867	22.99597359	23.04683113	19.20877647	18.12611771	17.7413559	17.55171967	1.0
21.73466301	20.35764122	19.29991722	18.85308838	24.05613708	22.58343887	22.0402565	21.78753471	1.0
24.91539955	24.26098633	22.26238823	21.46577454	18.91941643	18.67640877	18.6184845	18.62357712	1.0
21.44965744	20.93974876	20.78996086	20.53986359	19.01928139	17.60160065	16.55525398	16.1091671	1.0
24.40308952	22.70771599	21.5200386	21.1134243	25.68519402	24.18942642	22.38106918	21.68445969	1.0
19.12181282	17.91842651	17.37897873	17.08894157	21.71924782	21.94594193	22.20549583	22.32405853	1.0
23.57040787	22.1881237	20.8298893	20.33637238	20.97012329	20.05480766	20.02182961	19.4999218	1.0
24.89892387	23.36781502	22.01576424	21.42173767	21.55209351	21.03907013	20.89268112	20.87008667	1.0
22.08944321	20.61180496	19.14778137	18.54500771	20.44559097	18.98118019	17.83195496	17.34053421	1.0
22.3192215	22.02861023	21.68037415	20.91266823	23.65737343	22.1283493	20.86413383	20.37807846	1.0
24.20187759	22.62433243	21.25996971	20.71050262	17.70944595	17.05573463	16.8601284	16.76510811	1.0
23.82213974	22.35452843	20.62252235	19.87161827	21.55209351	21.03907013	20.89268112	20.87008667	1.0
23.55624199	23.09475899	22.64102745	22.40200043	21.50638199	21.7448101	21.95107269	22.30283737	1.0
21.46914482	20.15570068	19.47468185	19.15587044	25.95859909	23.98442841	22.74234581	21.92491722	1.0
22.03652573	20.52758026	19.00463295	18.328619	24.4741745	23.04083061	21.43519783	20.70033264	1.0
18.10998726	17.33120537	17.11283875	17.0014801	23.46670341	22.54807281	22.34907532	22.037817	1.0
22.44367599	21.65861511	21.38652229	21.31331253	24.65670776	23.08125877	21.03493881	20.20738029	1.0
20.25828171	18.86011124	18.03768539	17.66772079	22.29079056	20.57186508	18.78869057	18.05575752	1.0
24.65257645	22.97387314	21.88255692	21.48824501	20.25282478	18.7189846	17.43536758	16.88594437	1.0
24.92792892	23.16625786	21.962183	21.46043777	25.68631744	23.90979004	22.76934814	22.17822075	1.0
23.29928017	21.81198311	20.99891663	20.61275101	22.36521149	21.79958534	21.60812378	21.58265495	1.0
21.60708809	20.15177155	18.79975319	18.22702026	24.90951347	23.27582741	22.60282898	22.46718979	1.0
19.11833191	18.52875328	18.31941986	18.2532692	22.93272591	22.47629547	22.36465645	22.34017181	1.0
21.97022247	20.50545311	19.39802933	18.90572357	22.35135841	20.9978981	20.51505661	20.29912186	1.0
22.76625252	21.45542526	20.49445534	20.06263161	27.24101448	23.99061584	22.34618759	21.5510807	1.0
24.22060204	23.09855843	21.70522499	21.18733597	20.92384148	19.5445137	18.42948151	17.95108032	1.0
21.56452751	20.112257	18.66256714	18.02715302	22.8458252	21.19234848	19.31939697	18.5134716	1.0
24.53935051	23.07563972	22.04492378	21.58673668	24.4246254	23.10373688	20.9846611	20.03356361	1.0
18.24272919	17.23370743	16.85733414	16.65308952	21.28377914	20.09622574	19.59591103	19.36887932	1.0
21.66038704	20.35329437	19.64283752	19.29714394	19.69213867	18.30485535	17.44817352	17.0739994	1.0
21.68692207	21.32128716	21.3767643	21.48563576	23.34442139	22.64204407	22.43883705	21.99946213	1.0
25.97264862	24.34664917	22.37415123	21.43577194	22.52240181	21.98509216	21.7793808	21.67708969	1.0
18.73825455	17.88692856	17.60672188	17.45136833	22.33614349	20.84776878	20.03752327	19.6816349	1.0
24.80420876	23.40346146	22.20481873	21.73807144	23.23768044	21.67562866	20.25816727	19.67145729	1.0
23.57017517	22.27059746	21.62894249	21.26551628	25.26970863	24.65807724	22.40436172	21.67312431	1.0
22.21636963	20.96259117	20.43870354	20.1932373	20.68249321	19.98104477	19.74419022	19.60935402	1.0
17.29405975	16.73672676	16.56683159	16.49254799	21.58013535	20.92128754	20.71379471	20.64278793	1.0
19.61517143	18.36070061	17.83455086	17.57154465	21.18675613	20.79246902	20.70118713	20.65678787	1.0
21.08764076	20.71835709	20.58398819	20.55315018	22.93170166	21.54333305	20.85090446	20.50805855	1.0
22.61992455	21.15637398	20.06929398	19.59215355	18.71473312	17.50064468	17.04068565	16.81245041	1.0
21.89466667	20.53118706	19.37061882	18.87484932	25.50285912	24.00992966	22.61621857	22.26594925	1.0
17.44262314	16.87395096	16.68756866	16.59517479	24.06818008	22.64905167	21.26641083	20.66782188	1.0
22.55088425	20.9115696	19.28586388	18.62395859	19.97545624	18.60857391	17.3209343	16.78157997	1.0
24.33207703	23.02117729	21.67080307	21.14619064	22.2851181	20.94360542	20.18342972	19.81437111	1.0
21.73549461	20.31232834	19.11731339	18.62035561	26.08678246	24.29661179	22.73340225	22.22582626	1.0
21.58410454	20.39983559	19.93385506	19.7146244	20.11781693	19.82958984	19.79029274	19.74154091	1.0
23.53846931	22.16121674	20.85190773	20.33019638	19.54190063	19.14478111	19.02105331	18.9538002	1.0
21.8813591	21.55094528	21.46574211	21.46755981	22.2851181	20.94360542	20.18342972	19.81437111	1.0
21.9707756	20.50039101	19.27780914	18.76577377	19.21565437	18.93370628	18.85014915	18.82733727	1.0
23.15963745	21.70684242	20.95064735	20.6231041	23.89775467	23.53622818	22.79063797	22.43848801	1.0
22.22372055	22.05942154	22.07199478	22.16408157	22.22372055	22.05942154	22.07199478	22.16408157	1.0
22.7419548	22.69813919	22.52323723	22.44396591	25.77528	23.4738102	22.7263813	22.33823586	1.0
23.06063461	21.75296402	20.84051704	20.39637184	17.99254227	17.36301422	17.178936	17.09660339	1.0
23.66165352	22.73637581	22.38882828	22.1658783	25.0507412	22.91009712	20.99137878	20.16051292	1.0
18.84215164	18.26483345	18.10436058	18.02074242	24.45599937	22.79179382	21.87019348	21.27040482	1.0
23.43602753	21.97709274	20.55066299	19.95328522	23.59580421	22.48130798	21.11823845	20.59429169	1.0
23.31017113	21.76682663	20.5388279	20.01848221	19.84487915	18.46299744	17.69190025	17.34472084	1.0
23.86024094	22.33688736	21.75645065	21.47264671	24.17856216	22.48894691	20.23024178	19.30394363	1.0
26.08215332	23.93798828	22.56868172	22.1751442	23.92061424	22.72563934	21.83152962	21.29910278	1.0
24.31032372	22.81639671	21.38341522	20.71567345	21.1481266	19.61382866	18.34885788	17.81309128	1.0
18.41928864	17.87846756	17.72011948	17.64540291	22.83923912	21.19113159	19.79500771	19.21462822	1.0
25.09566116	23.43182373	21.90135956	21.43908691	23.89546394	23.0187645	22.6703968	22.6033802	1.0
21.8499794	20.93101692	20.65363693	20.4558754	20.52078056	19.11915588	17.87257004	17.33907127	1.0
24.30958366	22.98406792	21.24191475	20.48688698	23.67144966	22.04759407	20.58813095	19.92524147	1.0
23.06079102	22.49691963	22.37474442	22.43405151	18.71401978	18.0419693	17.81461143	17.69506264	1.0
24.70109558	22.5915947	21.6706543	21.18792152	21.66370392	20.22049332	19.20543671	18.77178192	1.0
21.64495659	20.16241455	19.21812057	18.82604599	16.7480545	16.29587364	16.18242455	16.15808678	1.0
23.45200157	22.02309227	21.35017967	21.07847977	18.20669174	16.79548264	16.0386982	15.64174747	1.0
22.36427689	22.01570129	21.94911003	21.90171432	23.76914406	22.66712189	22.20422363	21.8922081	1.0
23.63793945	22.01112175	20.63818932	20.01289177	23.46691322	21.91398048	20.638237	20.13890457	1.0
22.24125671	20.65605164	19.31461906	18.72567749	20.27507401	18.93473244	18.25930405	17.94691849	1.0
25.36973381	23.48092651	21.96770287	21.20648384	23.65762138	22.08995819	21.29786491	20.92817688	1.0
24.54179764	23.24165916	22.01636314	21.55688667	24.23919106	23.15731239	22.76259804	22.75616074	1.0
23.5645256	22.91145325	22.35111618	22.13971138	22.94113922	21.73105621	21.15694618	20.82714081	1.0
20.41623116	19.21653557	18.7849865	18.55524635	23.20680809	21.20395279	20.10256386	19.27597427	1.0
19.72785568	18.3164196	17.45001221	17.0681591	22.8603363	22.11779785	21.79981041	21.87863922	1.0
20.8832283	19.52559662	18.30004692	17.768116	24.86154175	22.99026299	21.53032303	20.97117233	1.0
22.47990417	21.09177208	20.05718994	19.60476494	21.6510849	20.12931824	18.85897446	18.32591248	1.0
20.92995262	20.36197281	20.16442871	20.09421158	23.42871857	22.87626648	22.68030548	22.49045181	1.0
22.17497826	20.74328995	19.56675529	19.05465698	24.26239777	22.96818924	22.54203415	22.26806068	1.0
20.11272049	18.74155807	18.16479492	17.87021828	25.10255814	23.52710533	22.77153587	22.59026909	1.0
20.56999969	19.96313477	19.74832916	19.6266861	23.89484406	22.51462364	21.61374092	21.17886734	1.0
22.22109795	20.94706917	19.97551155	19.56314659	23.60869598	22.27504349	21.712883	21.47411728	1.0
21.83617401	20.31092834	19.10441399	18.57415199	19.01555634	17.81929398	17.389925	17.1797123	1.0
25.61596298	23.75721931	22.72099304	22.31364441	19.18174934	18.72720909	18.59394455	18.53609657	1.0
24.38898087	23.0022831	21.71461678	21.19475746	23.16772461	22.19302368	21.84425735	21.72610474	1.0
22.17842865	22.07268906	22.04349518	21.76990891	18.33979988	17.39017296	17.08037949	16.91653442	1.0
23.9513092	22.79441643	22.23124886	21.97569466	21.49401474	21.11756706	21.01367188	20.95671082	1.0
17.81596565	17.52173424	17.45007896	17.43926239	18.530056	18.19563866	18.10451698	18.07508659	1.0
21.50638199	21.7448101	21.95107269	22.30283737	22.10823822	21.64795876	21.47298622	21.45704842	1.0
16.74448776	16.31237602	16.20822906	16.17683792	21.43728065	20.04381943	19.30543137	18.95607376	1.0
20.38507462	18.90077209	17.468853	16.76770401	21.08443451	19.86990929	19.39824486	19.16274071	1.0
24.26780128	22.73640442	22.23655891	21.95820999	23.67111588	22.69422722	22.51621246	22.21518707	1.0
24.40997124	22.70869446	21.07804871	20.34584427	21.98297691	20.79965019	20.3476162	20.11213493	1.0
19.0541954	19.12676048	20.39465714	19.79541779	20.44826508	19.91706657	19.75861931	19.71490479	1.0
17.03378105	16.30211449	16.07279587	15.95167255	23.53846931	22.16121674	20.85190773	20.33019638	1.0
23.16925049	21.58000755	20.01743889	19.35971451	21.1733551	20.97397614	20.83588219	20.86940575	1.0
19.88433456	19.57665825	19.48880005	19.48328781	21.16131592	19.71568489	18.73631096	18.31670952	1.0
22.17842865	22.07268906	22.04349518	21.76990891	23.54027176	22.02868462	20.35988426	19.57424164	1.0
25.27664948	23.63837433	22.29415131	21.81972694	22.31666565	22.00941467	21.95422745	21.7641449	1.0
20.7430706	20.32471848	20.20235252	20.16492081	26.53865623	23.48959732	22.15761757	21.62393379	1.0
21.55863953	20.19089508	19.0939827	18.62150192	21.56119919	20.17652321	19.5523262	19.27856445	1.0
23.379179	22.07406235	21.51656342	22.32065392	26.52949715	23.7963028	22.60159302	22.11070442	1.0
22.07804871	21.48888206	21.27042198	21.22245979	24.16298103	22.77126884	21.57258797	21.16798592	1.0
19.13475418	18.44071579	18.18350601	18.04039574	18.50621033	17.19562721	16.67181206	16.4146595	1.0
22.29361343	21.02256012	20.77514076	20.93919945	27.23200226	25.93341637	22.98311424	21.63537788	1.0
23.51811981	21.94582748	20.50067329	19.95848274	21.13000298	21.04680634	20.90142059	20.71006393	1.0
21.25390244	20.92103767	20.78850937	20.9141407	22.93272781	21.74692535	21.31528091	21.07681465	1.0
24.42010117	22.94184113	21.82505608	21.37429619	19.0900631	17.98982048	17.5948391	17.38224602	1.0
24.18356705	22.97492981	22.45510674	22.36716843	23.59176636	22.31481552	21.867733	21.75762939	1.0
21.4193821	19.95519829	18.59501839	18.01096153	24.89619827	23.30336571	21.78001976	21.13467216	1.0
25.11498833	24.32112312	22.86795425	22.39855003	23.71952248	22.03599548	20.22407913	19.39652443	1.0
22.57582664	22.22511292	22.21955299	22.07733345	21.16802025	20.82528687	20.75479126	20.65306664	1.0
23.69425964	22.7443409	22.45079613	22.38714027	22.82132149	21.33679199	19.79112434	19.11516953	1.0
24.25544739	22.48722839	21.80332565	21.46579742	24.15579414	22.62768555	21.98301697	21.7052803	1.0
23.99332809	22.62042046	22.06671333	21.77922249	22.91913223	21.38177109	19.8393364	19.13909912	1.0
22.75928116	21.33824921	20.19691277	19.68726158	23.5913868	23.08307648	22.7546711	22.78332329	1.0
25.65800858	23.97034645	22.83735275	22.31187057	23.6118412	22.35059166	21.89972687	21.71724701	1.0
23.64242744	21.91016197	20.24934006	19.5619297	19.66221428	18.66598511	18.33151245	18.15060043	1.0
20.9802227	19.47898293	18.20941734	17.66790199	23.59943008	22.0187664	20.43568611	19.80487442	1.0
99.0	99.0	21.33731461	22.72406769	18.2282486	17.86480713	17.77076721	17.7630558	1.0
25.43580818	23.77346611	22.23642921	21.58587456	20.37561989	19.16232872	18.68519402	18.45428848	1.0
22.6636734	21.22392845	20.29356575	19.88723373	16.74756241	16.18953133	16.00996399	15.92909813	1.0
22.45134544	21.07354355	20.05016708	19.642416	20.03938675	18.60777473	17.32416153	16.76778603	1.0
23.90087509	22.35263252	21.14345932	20.60165215	23.36751366	21.80280113	20.1508255	19.34425163	1.0
23.94248581	22.41973686	21.01295853	20.4348526	25.59592247	23.54166985	22.29496002	21.67613792	1.0
25.03048706	23.85217285	22.40483475	21.77658653	23.13479233	22.42804909	22.22354317	22.08388329	1.0
24.5261898	22.7580986	21.36293793	20.61580467	23.95867348	22.50668716	21.04710007	20.41140556	1.0
18.31650734	17.13725471	16.72128105	16.5086174	24.16348267	22.47475624	20.85277557	20.17439651	1.0
21.18701172	20.10782051	19.62402153	19.37983704	22.22218895	20.93513298	20.32951164	20.0156002	1.0
21.05454636	19.68745232	18.6526413	18.18017769	20.60770988	19.10105896	18.06930923	17.62303162	1.0
22.05820274	21.45834541	21.24585915	21.17347336	22.63224602	21.28717804	20.02945709	19.47183228	1.0
22.52896309	21.25993729	20.76647758	20.48868561	25.66035652	23.76614189	21.63364792	20.82374001	1.0
23.40304565	21.99691772	21.08282661	20.75187492	24.58727074	23.27895355	22.15007401	21.40935898	1.0
20.59328079	19.15778542	17.91951942	17.40486336	25.47571182	23.94211006	22.32956505	21.8873291	1.0
23.99332809	22.62042046	22.06671333	21.77922249	21.87529564	20.38973236	19.14491653	18.60548592	1.0
21.44715881	20.31962013	19.34166336	18.83207893	22.15703583	20.8174057	20.29017448	20.0300312	1.0
19.62730026	18.48736191	18.05830956	17.84075356	23.37181091	21.98359108	20.71994591	20.16654587	1.0
21.04457474	20.93477821	20.66644287	20.69428062	24.7118206	23.39732742	22.67292976	22.47336197	1.0
