CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-g	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-r	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-i	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-z	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-g	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-r	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-i	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-z	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-e1	CONFIGURATION_12-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-e2	CONFIGURATION_12-PLANE_1-OBJECT_1-MASS_PROFILE_1-e1	CONFIGURATION_12-PLANE_1-OBJECT_1-MASS_PROFILE_1-e2	CONFIGURATION_12-PLANE_1-OBJECT_1-REDSHIFT	CONFIGURATION_12-PLANE_1-OBJECT_1-MASS_PROFILE_1-sigma_v	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-R_sersic-g	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-R_sersic-r	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-R_sersic-i	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-R_sersic-z	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-n_sersic-g	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-n_sersic-r	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-n_sersic-i	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-n_sersic-z	CONFIGURATION_12-PLANE_1-OBJECT_3-REDSHIFT	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-e1	CONFIGURATION_12-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-e2	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-R_sersic-g	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-R_sersic-r	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-R_sersic-i	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-R_sersic-z	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-n_sersic-g	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-n_sersic-r	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-n_sersic-i	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-n_sersic-z	CONFIGURATION_12-PLANE_2-OBJECT_1-REDSHIFT	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-e1	CONFIGURATION_12-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-e2	CONFIGURATION_12-PLANE_1-OBJECT_4-magnitude-g	CONFIGURATION_12-PLANE_1-OBJECT_4-magnitude-r	CONFIGURATION_12-PLANE_1-OBJECT_4-magnitude-i	CONFIGURATION_12-PLANE_1-OBJECT_4-magnitude-z	WEIGHT
20.5158596	18.8837719	18.33345985	17.98742294	1.43137314444122	3.0889875271595204	3.3521980209584705	3.3521980209584705	1.2116256671	2.6911738552299997	2.8967346552300004	2.8967346552300004	0.08221576	-0.03580861	0.08221576	-0.03580861	0.32672945	210.06042	21.191679	19.71909904	19.23043251	18.94939995	0.49382796271126006	0.57904577819882	0.69531792650042	0.69531792650042	0.43416262235	1.0044427120300001	1.68899864767	1.68899864767	0.32672945	0.01710376	0.0203098	21.66109848	20.5922451	20.22394753	19.92804909	2.7126810847292604	2.9294044085309	3.2703247479617104	3.2703247479617104	0.9015463106200001	0.83889376682	0.99134959893	0.99134959893	0.44886717	0.07121768	0.12285948	25.35987473	24.36551666	22.67467308	22.28918648	1.0
21.92952347	20.14816666	19.51398087	19.14940453	1.0947827934023802	1.66717266768059	6.530631832656221	6.530631832656221	0.50646893094	1.26217243399	3.08267559737	3.08267559737	-0.04542988	0.04180792	-0.04542988	0.04180792	0.45841968	186.2125	21.9409771	20.13419342	19.42428398	19.0603447	0.6702582011572801	0.6101850076600801	0.55617871914765	0.55617871914765	0.37599498861999997	1.04263031729	0.95157564342	0.95157564342	0.45841968	-0.08148538	0.02575441	22.84979439	22.15708733	21.58297729	21.10097885	0.9495251626102601	0.7850072252531101	0.7909228071415101	0.7909228071415101	0.84201780969	1.22268691847	1.45826040268	1.45826040268	0.74186013	-0.15128056	-0.07599186	18.47191811	18.00774193	17.89125824	17.84898186	1.0
17.52827454	16.54134941	16.12595177	15.83269215	4.68850059868304	3.5785490249050302	3.9796806219238006	3.9796806219238006	1.42325082893	1.2331888503700001	1.49129818127	1.49129818127	-0.06947026	0.01572688	-0.06947026	0.01572688	0.10018267	190.11821	17.65873718	16.61876297	16.19775581	15.89895058	2.59380029606997	2.62726339573254	2.5686453174052404	2.5686453174052404	0.72557694773	0.9180752951700001	0.8630426161800001	0.8630426161800001	0.10018267	-0.00527455	0.00922017	21.08008575	20.04592514	19.73682404	19.46990204	1.7295232926958801	1.63119182679337	1.8452661404421602	1.8452661404421602	0.9418027107	1.0335213570000001	1.2675859286800002	1.2675859286800002	0.33183573	0.0694192	0.11183339	24.39614296	22.54854965	21.90814018	21.47881126	1.0
22.35279274	20.53979301	19.64576721	19.21113586	0.6806914421518301	0.9449053249822401	0.9247095727110701	0.9247095727110701	0.52899198794	0.6087404259400001	0.59152934563	0.59152934563	-0.06759893	-0.19494566	-0.06759893	-0.19494566	0.5792303	162.23434	22.4919548	20.54717827	19.60684586	19.16283989	0.7838628691079601	1.4872890444804403	5.545880729249391	5.545880729249391	0.77835924092	1.20096697668	2.9956488474	2.9956488474	0.5792303	0.03643458	-0.09218307	21.98788834	21.22584343	20.45831299	20.13530731	0.28956296215956007	0.5489861592402601	0.43897148827716004	0.43897148827716004	4.00488516049	1.34385203102	0.8050108614000001	0.8050108614000001	0.79293241	-0.47444273	0.08141819	24.94594955	23.25650597	22.41195488	22.08161926	1.0
21.23693466	19.39570999	18.76315498	18.43582726	1.1011262229070402	1.17019568249083	1.20157311062077	1.20157311062077	0.9211155041600001	1.18644408249	1.23465863376	1.23465863376	0.18513966	-0.17862526	0.18513966	-0.17862526	0.38057095	267.3028	21.42082024	19.67116737	19.02247047	18.66229057	1.68159532136153	2.00167332224269	1.7088380819050801	1.7088380819050801	0.5821798508	0.8731584141100001	0.98139783147	0.98139783147	0.38057095	0.24048838	-0.28477836	23.53194809	21.99622917	21.35563087	20.96146584	0.7659011434240001	1.0025607804116101	0.7269568390428901	0.7269568390428901	0.47856373148000003	1.27810102899	1.0920937451	1.0920937451	0.53431552	0.03618199	0.00854003	18.86166191	18.57954216	18.53026962	18.52875328	1.0
22.49221802	20.4529686	19.69499016	19.29707146	0.9223988951131301	5.387580755747801	1.7567791144217002	1.7567791144217002	0.73082935755	2.5084413579200002	1.23098743517	1.23098743517	-0.02393568	0.05434791	-0.02393568	0.05434791	0.46914327	275.29306	22.25718689	20.44983673	19.70402718	19.32466125	2.1285904585985405	0.62104682116201	0.6112508652905101	0.6112508652905101	2.7259686053200003	0.96115287784	1.01343328813	1.01343328813	0.46914327	-0.04289007	-0.08668691	23.64864922	21.76429558	20.6512661	20.19816399	0.5811177293686101	0.8434144142163101	2.56143564024542	2.56143564024542	0.5848540558399999	1.57195143921	3.78691070789	3.78691070789	0.74176201	-0.10499796	-0.00968302	24.82388878	23.37857437	22.91561127	22.77954102	1.0
22.07444382	20.22177124	19.42315483	19.03673744	0.6468067615844001	0.8218112394924301	0.8236969718053501	0.8236969718053501	0.55723717013	0.70080112215	0.8345977223100001	0.8345977223100001	0.17299185	-0.08691914	0.17299185	-0.08691914	0.57456833	259.98157	22.58804703	20.64414406	19.81327438	19.38636208	0.5975147063259801	0.6822096851012701	0.62864503097018	0.62864503097018	0.33787438524	0.9360633432300001	0.7987319888800001	0.7987319888800001	0.57456833	-0.37266991	0.02799172	22.36535645	22.00835419	21.43662834	21.26273155	0.6643854300380501	0.7968023727316101	0.7250370022628301	0.7250370022628301	0.70241418531	1.32118412677	1.26414836614	1.26414836614	0.88518062	0.01562783	-0.13654298	23.88587189	22.57530594	22.21004486	21.83113098	1.0
19.00834084	17.70746994	17.21677399	16.84910202	2.4436005236272904	2.5662434107381302	2.14701321157637	2.14701321157637	0.6556721131800001	0.88574506811	0.73487841087	0.73487841087	0.05250778	-0.34333709	0.05250778	-0.34333709	0.19908014	225.39378	18.9353447	17.56435394	17.08143234	16.7732811	2.47127324282498	2.4617210267507503	2.33641712313204	2.33641712313204	0.89554991851	1.01581485044	0.9999927283600001	0.9999927283600001	0.19908014	0.05158342	-0.32608377	23.10750961	21.6739502	20.95097923	20.46146774	0.6834344522839901	0.9383184863081301	3.51439017559146	3.51439017559146	0.54168498862	1.16561428524	3.2181470236100003	3.2181470236100003	0.59430011	0.03648916	-0.12581563	24.95859718	23.52526093	22.27644348	21.84567261	1.0
19.60976028	18.1723671	17.6942749	17.38635635	1.05415170542798	1.12275835661615	1.3241422490521202	1.3241422490521202	1.08072750052	1.5521119921300002	2.04674615188	2.04674615188	0.00908153	0.16949253	0.00908153	0.16949253	0.26791942	199.78587	20.83529663	19.12202072	18.54985046	18.18478012	0.8081518629597301	0.9740543997663501	0.9495571553478301	0.9495571553478301	0.42395273617	1.6976407750700002	1.70870930102	1.70870930102	0.26791942	0.09817991	0.19515694	21.88728523	20.75348473	20.41423607	20.10595512	1.2815874985602702	1.6841977607183702	4.383368218924501	4.383368218924501	1.04854713612	1.68955495842	3.53224784471	3.53224784471	0.38506932	0.29061723	-0.11417187	20.67806625	19.201931	17.96166992	17.44109917	1.0
20.37562752	18.83426094	18.32069969	18.00651169	1.9703295358392803	3.4578639697976405	8.38362402243573	8.38362402243573	0.77611945139	2.09117224864	2.60701368428	2.60701368428	-0.02453243	-0.09477259	-0.02453243	-0.09477259	0.31160632	128.68549	20.35333633	18.7947216	18.26807594	17.94971275	0.7727092945388201	0.9668862136311801	0.9802755308704201	0.9802755308704201	1.4963395914500002	1.8304698508300001	2.1241179798600003	2.1241179798600003	0.31160632	0.14521309	-0.08177677	23.0283947	22.83833504	22.73598289	22.22967148	0.95483980630173	3.983345092481991	1.8141078466211202	1.8141078466211202	0.82514746429	2.9299778526	1.7469722136999999	1.7469722136999999	1.17632952	-0.07393711	0.14529031	21.3521843	19.81033134	18.34418488	17.72358894	1.0
